coffee_shop,rate
Hachamaniya,4
Mela,1
Arcaffe,5
Elkalai,0
Liati,0
cafe Noam,5
Dinatchi cafe,4
Zilberstain cafe,4
Under the Tree,0
loveat,4
Origem Fresh,2
Eazy cafe,2
The Streets,5
Joe Coffee,5
Eva cafe,1
Cafe Dallal,5
Hachamaniya,1
Mela,0
Arcaffe,3
Elkalai,2
Liati,2
cafe Noam,5
Dinatchi cafe,3
Zilberstain cafe,1
Under the Tree,0
loveat,5
Origem Fresh,1
Eazy cafe,4
The Streets,1
Joe Coffee,3
Eva cafe,1
Cafe Dallal,3
Hachamaniya,3
Mela,5
Arcaffe,5
Elkalai,5
Liati,2
cafe Noam,3
Dinatchi cafe,2
Zilberstain cafe,2
Under the Tree,3
loveat,2
Origem Fresh,5
Eazy cafe,2
The Streets,1
Joe Coffee,0
Eva cafe,0
Cafe Dallal,2
Hachamaniya,3
Mela,5
Arcaffe,5
Elkalai,4
Liati,2
cafe Noam,4
Dinatchi cafe,0
Zilberstain cafe,3
Under the Tree,2
loveat,2
Origem Fresh,1
Eazy cafe,4
The Streets,5
Joe Coffee,5
Eva cafe,5
Cafe Dallal,1
